Id,Predicted
114982,378746.38089002
95653,497928.579464113
40303,354908.8753567393
109506,326363.1367478815
100149,455001.8703167694
7610,358059.3520849119
61101,314418.4841575278
68167,485506.7397467308
65701,331857.44783600763
56039,270663.23487558635
81919,437063.7871159846
99768,427758.2899696567
124053,647793.0654695318
3942,374275.6682588806
118904,504777.0447267336
30060,397832.6126429739
185729,583543.918213253
46357,736059.3986227401
20662,416401.9637072651
102274,490341.7460391222
53369,257312.01363162888
9719,363587.1579487476
20145,327763.49946974224
159051,616473.6477776144
31481,272242.20135024865
142247,367269.53335409367
29119,346475.7747457677
151448,407222.12579041003
60594,264812.29347065673
83400,522314.6486706877
40168,277910.5467079407
52407,401284.69499423774
127232,483462.0367432551
131188,401758.74437303725
952,205768.8478199413
166230,472096.4249854727
144844,404379.8099085504
33207,323042.9599405065
28355,722212.973964334
179918,645221.5915368535
162451,725133.1683968583
19390,266088.197316871
114861,431048.54464444023
132259,335887.54705859383
180033,719969.7560507089
97052,490664.6447653122
94224,388608.4711395912
32295,460644.2826385647
171908,759625.7788837014
80236,509222.4371573209
156193,436058.2903115351
54494,301886.01679927344
174530,622684.4542121654
143835,342512.58500809665
26275,373167.05850019015
61627,652831.5464384004
49813,384483.5933274552
3466,478440.8769487868
117691,476932.4347511369
132738,607894.2116805199
114211,561146.4173614918
116741,493423.7408069161
39246,404204.1320220065
150011,332125.14806943596
182319,542519.6165231147
32441,302502.2507476641
18842,358725.1202766745
99428,396982.6886847785
96435,406768.44923403667
134803,368556.0932213542
171636,586561.6429652999
115944,512718.45086929953
149001,504303.6847689838
19084,364739.02342748037
178128,684676.8441718095
74818,409262.05368649005
49603,277563.49882669287
86262,653105.9168242924
14520,277156.76966743614
57209,772401.7094916676
148575,591192.232761979
33,183432.09289251687
180401,676598.8332380215
87114,464976.50948585675
16450,350430.36456056376
28848,339791.0921295396
11519,195343.42123278312
7202,315078.0728249232
2843,265201.65734420647
156073,499305.97548743366
132217,436771.06558723893
140349,519679.18518147554
34614,323257.6350973439
135594,404227.1992935776
170933,682120.4137988532
62586,398127.74039130844
145868,375250.05090736813
15155,196433.74314907257
